pdbchain,LigID,partitions
12ca_A,{'ZN'},4
13pk_A,{'MG'},6
1a05_A,{'MG'},6
1a0c_A,{'CO'},5
1a0d_A,{'MN'},5
1a0e_A,{'CO'},5
1a0j_A,{'CA'},2
1a0q_H,{'ZN'},1
1a0q_L,{'ZN'},1
1a0s_P,{'CA'},2
1a16_A,{'MN'},4
1a1f_A,{'ZN'},3
1a1h_A,{'ZN'},3
1a1i_A,{'ZN'},3
1a1r_B,{'ZN'},5
1a25_A,{'CA'},2
1a2p_C,{'ZN'},1
1a2q_A,{'CA'},1
1a2t_A,{'CA'},1
1a2x_A,{'CA'},5
1a3w_A,{'MN'},5
1a3w_B,{'MN'},5
1a3x_A,{'MN'},5
1a40_A,{'PO4'},2
1a47_A,{'CA'},2
1a48_A,{'SO4'},3
1a49_A,{'MG'},5
1a4a_A,{'CU'},2
1a4g_A,{'CA'},4
1a4l_A,{'ZN'},6
1a4r_A,{'MG'},3
1a4v_A,{'CA'},5
1a5t_A,{'ZN'},2
1a5v_A,{'MN'},3
1a65_A,{'CU'},4
1a69_A,{'SO4'},1
1a69_C,{'SO4'},1
1a6f_A,{'ZN'},3
1a6q_A,{'MN'},6
1a6y_B,{'ZN'},6
1a71_A,{'ZN'},4
1a73_A,{'ZN'},3
1a75_B,{'CA'},5
1a76_A,{'MN'},6
1a7k_A,{'PO4'},4
1a7w_A,{'ZN'},6
1a82_A,{'MG'},3
1a8a_A,{'CA'},1
1a8h_A,{'ZN'},5
1a8t_A,{'ZN'},2
1a8v_A,{'CU'},2
1a8v_B,{'CU'},2
1a9o_A,{'PO4'},2
1aac_A,{'CU'},5
1abb_A,{'SO4'},2
1acc_A,{'CA'},4
1acm_B,{'ZN'},1
1ad5_A,{'CA'},6
1adb_A,{'ZN'},4
1adu_A,{'ZN'},3
1adu_B,{'ZN'},3
1adw_A,{'CU'},4
1aei_A,{'CA'},1
1af0_A,"{'CA', 'ZN'}",4
1af2_A,{'ZN'},3
1af4_A,{'CA'},1
1afa_1,{'CA'},3
1ag0_A,{'CU'},2
1ag1_T,{'PO4'},1
1ag6_A,{'CU'},2
1ag9_A,{'CA'},3
1agn_A,{'ZN'},4
1agp_A,{'MG'},3
1agr_A,{'MG'},4
1ah7_A,{'ZN'},5
1ahj_A,{'FE'},6
1ahr_A,{'CA'},5
1ai4_B,{'CA'},4
1aig_L,{'FE2'},5
1aih_C,{'MG'},4
1ain_A,{'CA'},1
1aj9_A,{'PO4'},2
1ajb_A,"{'ZN', 'MG'}",1
1ajc_A,"{'ZN', 'MG'}",1
1ajj_A,{'CA'},4
1ajk_A,{'CA'},5
1ajk_B,{'CA'},5
1ajo_A,{'CA'},3
1ajo_B,{'CA'},3
1ak0_A,{'ZN'},5
1ak9_A,{'CA'},1
1aka_B,{'PO4'},3
1akl_A,"{'CA', 'ZN'}",4
1al3_A,{'SO4'},4
1ala_A,{'CA'},1
1alc_A,{'CA'},5
1alh_A,"{'PO4', 'ZN'}",1
1ali_A,"{'ZN', 'PO4', 'MG'}",1
1alk_A,"{'ZN', 'PO4', 'MG'}",1
1alv_A,{'CA'},2
1am4_D,{'MG'},3
1amh_A,{'CA'},2
1amj_A,{'SO4'},4
1amp_A,{'ZN'},2
1amu_A,{'MG'},3
1amu_B,{'MG'},3
1amy_A,{'CA'},6
1an0_B,{'MG'},3
1an1_E,{'CA'},2
1anb_A,{'CA'},2
1anc_A,{'CA'},2
1and_A,{'CU'},2
1ani_A,"{'PO4', 'ZN'}",1
1anj_A,"{'PO4', 'ZN'}",1
1ann_A,{'CA'},1
1anv_A,{'ZN'},3
1anw_A,{'CA'},1
1ao0_A,{'MG'},6
1aop_A,{'PO4'},4
1aor_A,{'FE'},6
1aox_A,{'MG'},4
1aox_B,{'MG'},4
1aoz_A,{'CU'},4
1ap5_A,{'MN'},5
1aq2_A,"{'MG', 'MN'}",6
1aqf_E,{'MG'},5
1aqh_A,{'CA'},6
1aqn_A,{'CA'},1
1aqp_A,{'CU'},4
1ar1_B,"{'MG', 'CU'}",5
1ar4_A,{'MN'},5
1arp_A,{'CA'},2
1arz_A,{'PO4'},6
1as0_A,{'MG'},4
1ast_A,{'ZN'},3
1atg_A,{'SO4'},4
1atn_D,{'CA'},6
1atr_A,{'PO4'},3
1au1_B,{'ZN'},4
1aui_A,"{'ZN', 'FE'}",4
1auk_A,{'MG'},2
1aus_L,{'MG'},1
1aux_A,{'CA'},5
1avc_A,{'CA'},5
1avw_A,{'CA'},2
1aw5_A,{'ZN'},5
1ax0_A,"{'CA', 'MN'}",4
1axe_A,{'ZN'},4
1axg_A,{'ZN'},4
1axk_B,{'CA'},5
1axn_A,{'CA'},1
1ay0_A,{'CA'},2
1aye_A,{'ZN'},2
1ayo_B,{'CA'},2
1ayp_A,{'CA'},4
1az0_A,{'CA'},1
1az0_B,{'CA'},1
1azb_A,{'CU'},2
1azd_A,"{'CA', 'MN'}",3
1azn_A,{'CU'},2
1azr_A,{'CU'},2
1azs_C,{'MG'},4
1azt_A,{'MG'},4
1azt_B,{'MG'},4
1azv_A,"{'ZN', 'CU'}",6
1b06_A,{'FE'},5
1b09_A,{'CA'},1
1b0e_A,{'CA'},2
1b0i_A,{'CA'},6
1b0l_A,{'FE'},3
1b0n_A,{'ZN'},4
1b0n_B,{'ZN'},5
1b13_A,{'FE'},6
1b1b_A,{'ZN'},2
1b1x_A,{'FE'},3
1b20_A,{'ZN'},1
1b23_P,{'MG'},2
1b2j_A,{'FE'},6
1b2l_A,{'CA'},3
1b2o_A,{'FE'},6
1b2z_C,{'ZN'},1
1b38_A,{'MG'},3
1b3d_B,"{'CA', 'ZN'}",1
1b3e_A,{'FE'},6
1b49_A,{'PO4'},6
1b4e_A,{'ZN'},5
1b4k_A,{'MG'},5
1b4l_A,"{'ZN', 'CU'}",6
1b4n_A,{'CA'},6
1b4t_A,"{'ZN', 'CU'}",6
1b4u_B,{'FE'},3
1b55_A,{'ZN'},4
1b55_B,{'ZN'},4
1b57_A,{'ZN'},4
1b59_A,{'CO'},3
1b66_A,{'ZN'},2
1b6g_A,{'SO4'},3
1b6r_A,{'SO4'},2
1b6s_A,{'MG'},2
1b6s_B,{'MG'},2
1b6s_C,{'MG'},2
1b71_A,"{'ZN', 'FE'}",4
1b7t_A,{'MG'},5
1b80_A,{'CA'},2
1b85_A,{'CA'},2
1b8a_A,{'MN'},4
1b8c_A,{'MG'},5
1b8j_A,"{'ZN', 'MG'}",1
1b8o_A,{'PO4'},2
1b8r_A,{'CA'},5
1b90_A,{'CA'},5
1b93_B,{'PO4'},2
1b94_A,{'CA'},1
1b9a_A,{'CA'},5
1b9o_A,{'CA'},5
1b9s_A,{'CA'},4
1bag_A,{'CA'},6
1bav_A,{'ZN'},2
1bc0_A,{'CA'},1
1bc1_A,{'CA'},1
1bc3_A,{'CA'},1
1bcf_A,{'MN'},4
1bch_1,{'CA'},3
1bcj_1,{'CA'},3
1bcw_A,{'CA'},1
1bcy_A,{'CA'},1
1bcz_A,{'CA'},1
1be7_A,{'FE'},6
1bex_A,{'CU'},2
1bf2_A,{'CA'},2
1bf6_A,{'ZN'},4
1bff_A,{'PO4'},4
1bfv_L,{'ZN'},5
1bgp_A,{'CA'},2
1bh2_A,{'MG'},4
1bh5_B,{'ZN'},3
1bh6_A,{'CA'},1
1bho_1,{'MG'},4
1bht_A,{'SO4'},1
1bi0_A,{'ZN'},3
1bi3_A,{'ZN'},3
1bic_A,{'ZN'},4
1bif_A,"{'PO4', 'MG'}",4
1biq_A,"{'FE2', 'FE'}",5
1biq_B,{'FE2'},5
1bit_A,"{'CA', 'SO4'}",2
1biu_A,{'MG'},3
1biu_B,{'MG'},3
1bj3_A,{'CA'},1
1bj3_B,{'CA'},1
1bjf_A,{'CA'},5
1bjj_A,{'CA'},4
1bjq_A,"{'CA', 'MN'}",4
1bjq_B,"{'CA', 'MN'}",4
1bjr_E,{'CA'},1
1bjw_A,{'PO4'},5
1bk0_A,{'FE'},4
1bk4_A,"{'MG', 'SO4'}",3
1bk5_B,{'CO'},6
1bk9_A,{'CA'},4
1bka_A,{'FE'},3
1bkc_E,{'ZN'},2
1bkc_I,{'ZN'},2
1bl3_A,{'MG'},3
1bl3_B,{'MG'},3
1bl3_C,{'MG'},3
1blf_A,{'FE'},3
1bli_A,{'CA'},2
1bll_E,{'ZN'},4
1blx_A,{'CA'},3
1bn5_A,{'CO'},3
1bn8_A,{'CA'},4
1bnl_A,{'ZN'},4
1boa_A,{'CO'},3
1bob_A,{'CA'},4
1bof_A,{'MG'},4
1bow_A,{'MN'},2
1bp2_A,{'CA'},4
1bp3_A,{'ZN'},4
1bp3_B,{'ZN'},1
1bp7_B,{'CA'},3
1bpq_A,{'CA'},4
1bq5_A,{'CU'},6
1bq8_A,{'FE'},6
1bqb_A,"{'CA', 'ZN'}",1
1bqk_A,{'CU'},4
1bqq_M,"{'CA', 'ZN'}",1
1br2_A,{'MG'},5
1bra_A,{'CA'},2
1brg_C,{'ZN'},1
1brh_C,{'ZN'},1
1brj_C,{'ZN'},1
1brk_C,{'ZN'},1
1brw_A,"{'CA', 'PO4'}",4
1bs4_A,{'ZN'},4
1bsi_A,{'CA'},6
1bsr_A,{'SO4'},4
1bss_A,{'CA'},1
1bsu_B,{'CA'},1
1bsw_A,"{'CA', 'ZN'}",6
1bt0_A,{'ZN'},5
1btg_B,{'ZN'},4
1btk_A,{'ZN'},4
1btk_B,{'ZN'},4
1btl_A,{'SO4'},5
1bu3_A,{'CA'},5
1bu5_A,{'SO4'},1
1bud_A,"{'CA', 'ZN'}",6
1bug_A,{'CU'},2
1bup_A,{'PO4'},3
1bva_A,{'MN'},3
1bvc_A,{'PO4'},5
1bvi_D,{'CA'},1
1bvn_P,{'CA'},6
1bwn_A,{'ZN'},4
1bwn_B,{'ZN'},4
1bx4_A,{'MG'},4
1bxh_A,"{'CA', 'MN'}",3
1bxu_A,{'CU'},2
1bxz_A,{'ZN'},4
1byf_A,{'CA'},4
1byh_A,{'CA'},4
1byo_A,{'CU'},2
1byp_A,{'CU'},2
1bzm_A,{'ZN'},4
1bzo_A,"{'ZN', 'CU'}",6
1bzs_A,"{'CA', 'ZN'}",1
1bzw_A,"{'CA', 'MN'}",4
1bzx_E,{'CA'},2
1c09_A,{'FE'},6
1c0e_A,{'PO4'},3
1c0f_S,{'CA'},1
1c1m_A,{'CA'},2
1c1u_H,{'ZN'},2
1c1y_A,{'MG'},3
1c39_A,{'MN'},2
1c3h_D,{'CA'},4
1c3l_A,{'CA'},1
1c3r_A,{'ZN'},1
1c3x_A,{'PO4'},1
1c4g_A,{'CO'},5
1c74_A,{'CA'},4
1c7i_A,{'CA'},5
1c7k_A,"{'CA', 'ZN'}",1
1c8d_A,{'CA'},1
1c8f_A,{'CA'},1
1c8n_B,{'CA'},2
1c8n_C,{'CA'},2
1c8q_A,{'CA'},6
