pdbid,labels,predictions
1e4a_P,0,0.0
1e4a_P,1,0.701
1e4a_P,2,0.0
1e4a_P,3,0.0
1e4a_P,4,0.847
1e4a_P,5,0.0
1e4a_P,6,0.933
1e4a_P,7,0.859
1e4a_P,8,0.0
1e4a_P,9,0.974
1a1t_A,0,0.0
1a1t_A,1,0.0
1a1t_A,2,0.0
1a1t_A,3,0.0
1a1t_A,4,0.0
1a1t_A,5,0.0
1a1t_A,6,0.0
1a1t_A,7,0.0
1a1t_A,8,0.0
1a1t_A,9,1.0
1e4b_P,0,0.0
1e4b_P,1,0.681
1e4b_P,2,0.0
1e4b_P,3,0.0
1e4b_P,4,0.83
1e4b_P,5,0.507
1e4b_P,6,0.934
1e4b_P,7,0.88
1e4b_P,8,0.0
1e4b_P,9,0.975
1a7i_A,0,0.0
1a7i_A,1,0.0
1a7i_A,2,0.0
1a7i_A,3,0.0
1a7i_A,4,0.0
1a7i_A,5,0.0
1a7i_A,6,0.0
1a7i_A,7,0.0
1a7i_A,8,0.0
1a7i_A,9,1.0
1e4c_P,0,0.0
1e4c_P,1,0.681
1e4c_P,2,0.0
1e4c_P,3,0.0
1e4c_P,4,0.83
1e4c_P,5,0.529
1e4c_P,6,0.936
1e4c_P,7,0.88
1e4c_P,8,0.0
1e4c_P,9,0.976
1aa9_A,0,0.926
1aa9_A,1,0.0
1aa9_A,2,0.0
1aa9_A,3,0.0
1aa9_A,4,0.0
1aa9_A,5,0.993
1aa9_A,6,0.0
1aa9_A,7,0.0
1aa9_A,8,0.0
1aa9_A,9,0.0
1e4u_A,0,0.0
1e4u_A,1,0.0
1e4u_A,2,0.0
1e4u_A,3,0.0
1e4u_A,4,0.0
1e4u_A,5,0.0
1e4u_A,6,0.0
1e4u_A,7,0.0
1e4u_A,8,0.0
1e4u_A,9,1.0
1aaf_A,0,0.0
1aaf_A,1,0.0
1aaf_A,2,0.0
1aaf_A,3,0.0
1aaf_A,4,0.0
1aaf_A,5,0.0
1aaf_A,6,0.0
1aaf_A,7,0.0
1aaf_A,8,0.0
1aaf_A,9,1.0
1ef4_A,0,0.0
1ef4_A,1,0.0
1ef4_A,2,0.0
1ef4_A,3,0.0
1ef4_A,4,0.752
1ef4_A,5,0.0
1ef4_A,6,0.0
1ef4_A,7,0.0
1ef4_A,8,0.0
1ef4_A,9,0.999
1aic_A,0,0.0
1aic_A,1,0.0
1aic_A,2,0.0
1aic_A,3,0.0
1aic_A,4,0.0
1aic_A,5,0.0
1aic_A,6,0.0
1aic_A,7,0.866
1aic_A,8,0.812
1aic_A,9,0.941
1e6c_A,0,0.0
1e6c_A,1,0.0
1e6c_A,2,0.0
1e6c_A,3,0.0
1e6c_A,4,0.0
1e6c_A,5,0.972
1e6c_A,6,0.0
1e6c_A,7,0.747
1e6c_A,8,0.756
1e6c_A,9,0.0
1aj4_A,0,0.999
1aj4_A,1,0.0
1aj4_A,2,0.0
1aj4_A,3,0.0
1aj4_A,4,0.0
1aj4_A,5,0.0
1aj4_A,6,0.0
1aj4_A,7,0.0
1aj4_A,8,0.0
1aj4_A,9,0.0
1eh2_A,0,0.999
1eh2_A,1,0.0
1eh2_A,2,0.0
1eh2_A,3,0.0
1eh2_A,4,0.0
1eh2_A,5,0.0
1eh2_A,6,0.0
1eh2_A,7,0.0
1eh2_A,8,0.0
1eh2_A,9,0.0
1ajy_A,0,0.0
1ajy_A,1,0.0
1ajy_A,2,0.0
1ajy_A,3,0.0
1ajy_A,4,0.0
1ajy_A,5,0.0
1ajy_A,6,0.0
1ajy_A,7,0.0
1ajy_A,8,0.0
1ajy_A,9,1.0
1emn_A,0,0.999
1emn_A,1,0.0
