pdbid,labels,lmetal_pred
1a1t_A,0,0.0
1a1t_A,1,0.0
1a1t_A,2,0.0
1a1t_A,3,0.0
1a1t_A,4,0.0
1a1t_A,5,0.0
1a1t_A,6,0.0
1a1t_A,7,0.0
1a1t_A,8,0.0
1a1t_A,9,0.9975
1a7i_A,0,0.0
1a7i_A,1,0.0
1a7i_A,2,0.0
1a7i_A,3,0.0
1a7i_A,4,0.0
1a7i_A,5,0.0
1a7i_A,6,0.0
1a7i_A,7,0.0
1a7i_A,8,0.0
1a7i_A,9,0.9982
1aa9_A,0,0.5033
1aa9_A,1,0.0
1aa9_A,2,0.0
1aa9_A,3,0.0
1aa9_A,4,0.0
1aa9_A,5,0.8513
1aa9_A,6,0.8551
1aa9_A,7,0.0
1aa9_A,8,0.0
1aa9_A,9,0.0
1aaf_A,0,0.0
1aaf_A,1,0.0
1aaf_A,2,0.0
1aaf_A,3,0.0
1aaf_A,4,0.0
1aaf_A,5,0.0
1aaf_A,6,0.0
1aaf_A,7,0.0
1aaf_A,8,0.0
1aaf_A,9,0.9975
1aic_A,0,0.0
1aic_A,1,0.0
1aic_A,2,0.0
1aic_A,3,0.0
1aic_A,4,0.0
1aic_A,5,0.0
1aic_A,6,0.0
1aic_A,7,0.0
1aic_A,8,0.0
1aic_A,9,0.0
1aj4_A,0,0.9865
1aj4_A,1,0.0
1aj4_A,2,0.0
1aj4_A,3,0.0
1aj4_A,4,0.0
1aj4_A,5,0.6546
1aj4_A,6,0.8363
1aj4_A,7,0.0
1aj4_A,8,0.0
1aj4_A,9,0.0
1ajy_A,0,0.0
1ajy_A,1,0.0
1ajy_A,2,0.0
1ajy_A,3,0.0
1ajy_A,4,0.0
1ajy_A,5,0.0
1ajy_A,6,0.0
1ajy_A,7,0.0
1ajy_A,8,0.0
1ajy_A,9,0.9983
1aw2_A,0,0.731
1aw2_A,1,0.0
1aw2_A,2,0.0
1aw2_A,3,0.0
1aw2_A,4,0.0
1aw2_A,5,0.5196
1aw2_A,6,0.7186
1aw2_A,7,0.0
1aw2_A,8,0.0
1aw2_A,9,0.6678
1ayk_A,0,0.8678
1ayk_A,1,0.0
1ayk_A,2,0.0
1ayk_A,3,0.0
1ayk_A,4,0.0
1ayk_A,5,0.0
1ayk_A,6,0.7148
1ayk_A,7,0.0
1ayk_A,8,0.0
1ayk_A,9,0.9963
1b17_B,0,0.0
1b17_B,1,0.0
1b17_B,2,0.0
1b17_B,3,0.0
1b17_B,4,0.0
1b17_B,5,0.0
1b17_B,6,0.0
1b17_B,7,0.0
1b17_B,8,0.0
1b17_B,9,0.7744
1b1g_A,0,0.9879
1b1g_A,1,0.0
1b1g_A,2,0.0
1b1g_A,3,0.0
1b1g_A,4,0.0
1b1g_A,5,0.6866
1b1g_A,6,0.8577
1b1g_A,7,0.0
1b1g_A,8,0.0
1b1g_A,9,0.0
1b4s_A,0,0.0
1b4s_A,1,0.0
1b4s_A,2,0.0
1b4s_A,3,0.0
1b4s_A,4,0.0
1b4s_A,5,0.0
1b4s_A,6,0.0
1b4s_A,7,0.0
1b4s_A,8,0.0
1b4s_A,9,0.0
1b62_A,0,0.6942
1b62_A,1,0.0
1b62_A,2,0.0
1b62_A,3,0.0
1b62_A,4,0.0
1b62_A,5,0.7493
1b62_A,6,0.8394
1b62_A,7,0.0
1b62_A,8,0.0
1b62_A,9,0.0
1b8t_A,0,0.0
1b8t_A,1,0.0
1b8t_A,2,0.0
1b8t_A,3,0.0
1b8t_A,4,0.0
1b8t_A,5,0.0
1b8t_A,6,0.0
1b8t_A,7,0.0
1b8t_A,8,0.0
1b8t_A,9,0.9984
1ba9_A,0,0.0
1ba9_A,1,0.0
1ba9_A,2,0.0
1ba9_A,3,0.0
1ba9_A,4,0.0
1ba9_A,5,0.0
1ba9_A,6,0.7537
1ba9_A,7,0.0
1ba9_A,8,0.0
1ba9_A,9,0.8298
1bbo_A,0,0.0
1bbo_A,1,0.0
1bbo_A,2,0.0
1bbo_A,3,0.0
1bbo_A,4,0.0
1bbo_A,5,0.0
1bbo_A,6,0.5692
1bbo_A,7,0.0
1bbo_A,8,0.0
1bbo_A,9,0.9983
1bci_A,0,0.9862
1bci_A,1,0.0
1bci_A,2,0.0
1bci_A,3,0.0
1bci_A,4,0.0
1bci_A,5,0.6074
1bci_A,6,0.8929
1bci_A,7,0.0
1bci_A,8,0.0
1bci_A,9,0.466
1bhp_A,0,0.0
1bhp_A,1,0.0
1bhp_A,2,0.0
1bhp_A,3,0.0
1bhp_A,4,0.0
1bhp_A,5,0.0
1bhp_A,6,0.0
1bhp_A,7,0.0
1bhp_A,8,0.0
1bhp_A,9,0.0
1bm6_A,0,0.8183
1bm6_A,1,0.0
1bm6_A,2,0.0
1bm6_A,3,0.0
1bm6_A,4,0.0
1bm6_A,5,0.0
1bm6_A,6,0.7882
1bm6_A,7,0.0
1bm6_A,8,0.0
1bm6_A,9,0.9962
1bor_A,0,0.0
1bor_A,1,0.0
1bor_A,2,0.0
1bor_A,3,0.0
1bor_A,4,0.0
1bor_A,5,0.0
1bor_A,6,0.0
1bor_A,7,0.0
1bor_A,8,0.0
1bor_A,9,0.9985
1bpi_A,0,0.0
1bpi_A,1,0.0
1bpi_A,2,0.0
1bpi_A,3,0.0
1bpi_A,4,0.0
1bpi_A,5,0.0
1bpi_A,6,0.0
1bpi_A,7,0.0
1bpi_A,8,0.0
1bpi_A,9,0.0
1bt7_A,0,0.0
1bt7_A,1,0.0
1bt7_A,2,0.0
1bt7_A,3,0.0
1bt7_A,4,0.0
1bt7_A,5,0.0
1bt7_A,6,0.0
1bt7_A,7,0.0
1bt7_A,8,0.0
