pdbid,labels,mebi_pred
1a1t_A,0,0.0
1a1t_A,1,0.0
1a1t_A,2,0.0
1a1t_A,3,0.0
1a1t_A,4,0.0
1a1t_A,5,0.0
1a1t_A,6,0.0
1a1t_A,7,0.0
1a1t_A,8,0.0
1a1t_A,9,1.0
1a7i_A,0,0.02
1a7i_A,1,0.26
1a7i_A,2,0.28
1a7i_A,3,0.0
1a7i_A,4,0.0
1a7i_A,5,0.09
1a7i_A,6,0.07
1a7i_A,7,0.07
1a7i_A,8,0.07
1a7i_A,9,0.76
1aa9_A,0,0.56
1aa9_A,1,0.0
1aa9_A,2,0.0
1aa9_A,3,0.0
1aa9_A,4,0.0
1aa9_A,5,0.99
1aa9_A,6,0.0
1aa9_A,7,0.0
1aa9_A,8,0.0
1aa9_A,9,0.0
1aaf_A,0,0.0
1aaf_A,1,0.0
1aaf_A,2,0.0
1aaf_A,3,0.0
1aaf_A,4,0.0
1aaf_A,5,0.0
1aaf_A,6,0.0
1aaf_A,7,0.0
1aaf_A,8,0.0
1aaf_A,9,1.0
1aic_A,0,0.49
1aic_A,1,0.39
1aic_A,2,0.18
1aic_A,3,0.35
1aic_A,4,0.35
1aic_A,5,0.41
1aic_A,6,0.64
1aic_A,7,0.64
1aic_A,8,0.64
1aic_A,9,0.46
1aj4_A,0,1.0
1aj4_A,1,0.0
1aj4_A,2,0.0
1aj4_A,3,0.0
1aj4_A,4,0.0
1aj4_A,5,0.18
1aj4_A,6,0.0
1aj4_A,7,0.0
1aj4_A,8,0.0
1aj4_A,9,0.0
1ajy_A,0,0.0
1ajy_A,1,0.13
1ajy_A,2,0.2
1ajy_A,3,0.0
1ajy_A,4,0.0
1ajy_A,5,0.02
1ajy_A,6,0.01
1ajy_A,7,0.01
1ajy_A,8,0.01
1ajy_A,9,0.93
1aw2_A,0,0.54
1aw2_A,1,0.44
1aw2_A,2,0.78
1aw2_A,3,0.05
1aw2_A,4,0.05
1aw2_A,5,0.3
1aw2_A,6,0.46
1aw2_A,7,0.46
1aw2_A,8,0.46
1aw2_A,9,0.28
1ayk_A,0,1.0
1ayk_A,1,1.0
1ayk_A,2,0.0
1ayk_A,3,0.0
1ayk_A,4,0.0
1ayk_A,5,0.0
1ayk_A,6,0.0
1ayk_A,7,0.0
1ayk_A,8,0.0
1ayk_A,9,1.0
1b17_B,0,0.01
1b17_B,1,0.03
1b17_B,2,0.32
1b17_B,3,0.0
1b17_B,4,0.0
1b17_B,5,0.01
1b17_B,6,0.0
1b17_B,7,0.0
1b17_B,8,0.0
1b17_B,9,0.99
1b1g_A,0,0.82
1b1g_A,1,0.23
1b1g_A,2,0.13
1b1g_A,3,0.03
1b1g_A,4,0.03
1b1g_A,5,0.07
1b1g_A,6,0.02
1b1g_A,7,0.02
1b1g_A,8,0.02
1b1g_A,9,0.05
1b4s_A,0,0.3
1b4s_A,1,0.25
1b4s_A,2,0.11
1b4s_A,3,0.42
1b4s_A,4,0.42
1b4s_A,5,0.58
1b4s_A,6,0.51
1b4s_A,7,0.51
1b4s_A,8,0.51
1b4s_A,9,0.4
1b62_A,0,0.3
1b62_A,1,0.32
1b62_A,2,0.1
1b62_A,3,0.02
1b62_A,4,0.02
1b62_A,5,0.56
1b62_A,6,0.34
1b62_A,7,0.34
1b62_A,8,0.34
1b62_A,9,0.35
1b8t_A,0,0.01
1b8t_A,1,0.0
1b8t_A,2,0.01
1b8t_A,3,0.0
1b8t_A,4,0.0
1b8t_A,5,0.01
1b8t_A,6,0.0
1b8t_A,7,0.0
1b8t_A,8,0.0
1b8t_A,9,1.0
1ba9_A,0,0.17
1ba9_A,1,0.0
1ba9_A,2,1.0
1ba9_A,3,0.0
1ba9_A,4,0.0
1ba9_A,5,0.0
1ba9_A,6,0.0
1ba9_A,7,0.0
1ba9_A,8,0.0
1ba9_A,9,1.0
1bbo_A,0,0.0
1bbo_A,1,0.01
1bbo_A,2,0.05
1bbo_A,3,0.0
1bbo_A,4,0.0
1bbo_A,5,0.0
1bbo_A,6,0.0
1bbo_A,7,0.0
1bbo_A,8,0.0
1bbo_A,9,1.0
1bci_A,0,0.52
1bci_A,1,0.41
1bci_A,2,0.53
1bci_A,3,0.01
1bci_A,4,0.01
1bci_A,5,0.36
1bci_A,6,0.15
1bci_A,7,0.15
1bci_A,8,0.15
1bci_A,9,0.19
1bhp_A,0,0.07
1bhp_A,1,0.06
1bhp_A,2,0.0
1bhp_A,3,0.0
1bhp_A,4,0.0
1bhp_A,5,0.25
1bhp_A,6,0.01
1bhp_A,7,0.01
1bhp_A,8,0.01
1bhp_A,9,0.08
1bm6_A,0,1.0
1bm6_A,1,1.0
1bm6_A,2,0.0
1bm6_A,3,0.0
1bm6_A,4,0.0
1bm6_A,5,0.0
1bm6_A,6,0.0
1bm6_A,7,0.0
1bm6_A,8,0.0
1bm6_A,9,1.0
1bor_A,0,0.16
1bor_A,1,0.18
1bor_A,2,0.27
1bor_A,3,0.0
1bor_A,4,0.0
1bor_A,5,0.03
1bor_A,6,0.02
1bor_A,7,0.02
1bor_A,8,0.02
1bor_A,9,0.81
1bpi_A,0,0.3
1bpi_A,1,0.17
1bpi_A,2,0.04
1bpi_A,3,0.36
1bpi_A,4,0.36
1bpi_A,5,0.23
1bpi_A,6,0.04
1bpi_A,7,0.04
1bpi_A,8,0.04
1bpi_A,9,0.28
1bt7_A,0,0.01
1bt7_A,1,0.0
1bt7_A,2,0.02
1bt7_A,3,0.0
1bt7_A,4,0.0
1bt7_A,5,0.64
1bt7_A,6,0.0
1bt7_A,7,0.0
1bt7_A,8,0.0
1bt7_A,9,1.0
1btc_A,0,0.66
1btc_A,1,0.39
