#	Summary: Metal Binding Proteins above treshold of 0.5

#	Ca	Co	Cu	Fe	K	Mg	Mn	Na	Ni	Zn

#	1268	348	390	820	886	1584	712	921	766	1623

ID	MetalBinding	Ca	Co	Cu	Fe	K	Mg	Mn	Na	Ni	Zn

1A1T_A	1.0	0.0	0.0	0.0	0.0	0.33	0.0	0.0	0.63	0.0	1.0

1A7I_A	0.99	0.02	0.26	0.28	0.0	0.36	0.09	0.07	0.43	0.25	0.76

1AA9_A	0.41	0.56	0.0	0.0	0.0	0.0	0.99	0.0	0.01	0.0	0.0

1AAF_A	1.0	0.0	0.0	0.0	0.0	0.35	0.0	0.0	0.61	0.0	1.0

1AIC_A	0.66	0.49	0.39	0.18	0.35	0.43	0.41	0.64	0.34	0.18	0.46

1AJ4_A	0.37	1.0	0.0	0.0	0.0	0.0	0.18	0.0	0.14	0.0	0.0

1AJY_A	1.0	0.0	0.13	0.2	0.0	0.33	0.02	0.01	0.44	0.15	0.93

1AW2_A	0.39	0.54	0.44	0.78	0.05	0.33	0.3	0.46	0.48	0.51	0.28

1AYK_A	1.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	0.45	0.03	1.0

1B17_B	0.94	0.01	0.03	0.32	0.0	0.3	0.01	0.0	0.51	0.12	0.99

1B1G_A	0.4	0.82	0.23	0.13	0.03	0.06	0.07	0.02	0.38	0.0	0.05

1B4S_A	0.4	0.3	0.25	0.11	0.42	0.25	0.58	0.51	0.33	0.24	0.4

1B62_A	0.33	0.3	0.32	0.1	0.02	0.62	0.56	0.34	0.43	0.34	0.35

1B8T_A	1.0	0.01	0.0	0.01	0.0	0.39	0.01	0.0	0.58	0.0	1.0

1BA9_A	1.0	0.17	0.0	1.0	0.0	1.0	0.0	0.0	0.15	0.0	1.0

1BBO_A	1.0	0.0	0.01	0.05	0.0	0.34	0.0	0.0	0.48	0.02	1.0

1BCI_A	0.2	0.52	0.41	0.53	0.01	0.38	0.36	0.15	0.21	0.29	0.19

1BHP_A	0.09	0.07	0.06	0.0	0.0	0.04	0.25	0.01	0.04	0.17	0.08

1BM6_A	1.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	0.53	0.99	1.0

1BOR_A	1.0	0.16	0.18	0.27	0.0	0.35	0.03	0.02	0.45	0.21	0.81

1BPI_A	0.2	0.3	0.17	0.04	0.36	0.11	0.23	0.04	0.04	0.3	0.28

1BT7_A	0.99	0.01	0.0	0.02	0.0	0.04	0.64	0.0	0.42	0.07	1.0

1BTC_A	0.4	0.66	0.39	0.04	0.01	0.51	0.53	0.66	0.57	0.21	0.19

1BXN_A	0.4	0.29	0.14	0.0	0.01	0.3	0.64	0.65	0.34	0.03	0.38

1BYN_A	0.4	0.7	0.41	0.24	0.04	0.26	0.48	0.29	0.42	0.03	0.21

1C07_A	0.4	0.67	0.43	0.24	0.06	0.28	0.35	0.19	0.43	0.18	0.35

1C9Q_A	0.88	0.1	0.24	0.32	0.02	0.33	0.28	0.07	0.43	0.34	0.6

1CEE_A	0.4	0.01	0.0	0.0	0.0	0.12	0.84	0.0	0.06	0.0	0.03

1CF4_A	0.4	0.02	0.0	0.0	0.0	0.15	0.81	0.0	0.08	0.0	0.03

1CFF_A	0.27	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0

1CHC_A	1.0	0.01	0.18	0.21	0.0	0.28	0.03	0.01	0.45	0.18	0.91

1CL4_A	1.0	0.01	0.23	0.24	0.0	0.3	0.0	0.05	0.39	0.23	0.76

1CLI_A	0.4	0.34	0.36	0.09	0.24	0.13	0.6	0.19	0.64	0.42	0.21

1CO4_A	0.9	0.03	0.29	0.25	0.0	0.29	0.02	0.12	0.36	0.28	0.63

1CR8_A	0.42	0.85	0.37	0.16	0.18	0.17	0.01	0.06	0.41	0.09	0.16

1CTA_A	0.4	0.8	0.15	0.02	0.03	0.01	0.53	0.01	0.33	0.0	0.01

1CUR_A	0.43	0.3	0.62	1.0	0.0	0.49	0.17	0.12	0.39	0.24	0.49

1CWS_A	0.09	0.03	0.2	0.0	0.0	0.12	0.43	0.02	0.13	0.35	0.03

1CXX_A	1.0	0.02	0.05	0.12	0.0	0.31	0.01	0.0	0.48	0.07	0.99

1CZJ_A	0.49	0.02	0.38	0.01	0.63	0.36	0.12	0.33	0.25	0.47	0.42

1D2J_A	0.41	0.88	0.29	0.14	0.02	0.11	0.01	0.03	0.4	0.03	0.08

1D2L_A	0.42	0.9	0.33	0.1	0.0	0.17	0.0	0.04	0.41	0.1	0.07

1DAQ_A	0.4	0.86	0.24	0.12	0.02	0.05	0.07	0.01	0.4	0.0	0.05

1DEF_A	0.98	0.45	0.29	0.0	0.52	0.1	0.0	0.0	0.54	1.0	0.42

1DFE_A	1.0	0.0	0.12	0.18	0.0	0.32	0.0	0.01	0.43	0.13	0.95

1DGW_Y	0.26	0.09	0.31	0.02	0.6	0.28	0.16	0.19	0.33	0.44	0.14

1DL6_A	1.0	0.0	0.09	0.16	0.0	0.3	0.0	0.0	0.44	0.12	0.96

1DSV_A	0.43	0.99	0.26	0.23	0.01	0.0	0.11	0.0	0.37	0.0	0.88

1DSW_A	1.0	0.17	0.0	1.0	0.0	1.0	0.0	0.0	0.14	0.0	1.0

1DT0_B	0.41	0.0	0.4	0.0	0.92	0.41	0.0	1.0	0.13	0.03	0.41

1DT7_A	0.39	1.0	0.0	0.01	0.0	0.0	0.0	0.0	0.23	0.0	0.0

1DX8_A	1.0	0.02	0.12	0.17	0.15	0.2	0.1	0.0	0.51	0.18	0.97

1DZI_A	0.43	0.43	0.72	0.14	0.0	0.74	0.51	0.81	0.68	0.65	0.36

1E08_D	0.26	0.04	0.35	0.02	0.65	0.29	0.43	0.15	0.03	0.35	0.15

1E0E_A	1.0	0.0	0.03	0.09	0.0	0.32	0.0	0.0	0.46	0.04	1.0

1E1T_A	0.39	0.52	0.31	0.04	0.31	0.37	0.57	0.6	0.27	0.3	0.37

1E29_A	0.09	0.39	0.23	0.01	0.01	0.15	0.17	0.53	0.1	0.14	0.19

1E46_P	0.62	0.34	0.38	0.21	0.3	0.55	0.42	0.07	0.27	0.4	0.47

1E47_P	0.62	0.34	0.38	0.21	0.3	0.55	0.42	0.07	0.28	0.4	0.47

1E48_P	0.62	0.34	0.38	0.21	0.3	0.55	0.42	0.07	0.28	0.4	0.47

1E49_P	0.6	0.29	0.38	0.2	0.32	0.54	0.43	0.08	0.21	0.4	0.47

1E4A_P	0.62	0.27	0.39	0.22	0.32	0.52	0.43	0.08	0.24	0.4	0.47

1E4B_P	0.63	0.27	0.39	0.22	0.32	0.52	0.43	0.08	0.24	0.4	0.47

1E4C_P	0.62	0.34	0.38	0.21	0.3	0.55	0.42	0.07	0.27	0.4	0.47

1E4U_A	1.0	0.0	0.03	0.1	0.0	0.31	0.0	0.0	0.5	0.05	1.0

1E6C_A	0.26	0.14	0.34	0.18	0.11	0.45	0.54	0.14	0.13	0.34	0.39

1EF4_A	1.0	0.0	0.04	0.11	0.0	0.22	0.22	0.0	0.44	0.1	0.98

1EH2_A	0.4	0.85	0.22	0.12	0.02	0.07	0.06	0.01	0.4	0.01	0.04

1EMN_A	0.41	0.83	0.41	0.22	0.05	0.09	0.13	0.04	0.41	0.04	0.27

1EUB_A	1.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	0.69	1.0	1.0

1EXK_A	1.0	0.0	0.07	0.13	0.0	0.32	0.05	0.0	0.45	0.09	0.98

1EYX_A	0.17	0.13	0.31	0.03	0.0	0.35	0.53	0.1	0.33	0.4	0.08

1EYX_B	0.71	0.04	0.2	0.32	0.32	0.28	0.33	0.09	0.47	0.34	0.65

1F4S_P	1.0	0.0	0.09	0.16	0.0	0.31	0.0	0.0	0.44	0.11	0.96

1F4V_A	0.41	0.17	0.32	0.0	0.07	0.06	0.59	0.98	0.65	0.26	0.31

1F5Y_A	0.4	0.81	0.27	0.13	0.02	0.07	0.13	0.01	0.4	0.0	0.07

1F62_A	1.0	0.0	0.14	0.2	0.0	0.31	0.0	0.01	0.43	0.16	0.9

1F8Z_A	0.41	0.87	0.3	0.14	0.02	0.12	0.01	0.03	0.4	0.04	0.09

1F9X_A	0.96	0.02	0.07	0.61	0.0	0.35	0.0	0.0	0.5	0.17	0.95

1FA4_A	0.42	0.0	1.0	1.0	0.0	0.67	0.0	0.0	0.5	0.86	0.62

1FC2_C	0.19	0.18	0.09	0.01	0.01	0.05	0.22	0.01	0.03	0.25	0.23

1FI6_A	0.4	0.99	0.04	0.03	0.0	0.0	0.0	0.0	0.36	0.0	0.0

1FP0_A	0.92	0.01	0.09	0.06	0.02	0.37	0.13	0.0	0.51	0.56	0.78

1FPP_A	0.27	0.47	0.46	0.17	0.0	0.39	0.47	0.27	0.46	0.35	0.2

1FPW_A	0.39	1.0	0.03	0.02	0.0	0.0	0.0	0.0	0.35	0.0	0.0

1FRE_A	0.48	0.27	0.25	0.17	0.11	0.28	0.41	0.07	0.07	0.41	0.44

1FU9_A	0.99	0.02	0.27	0.28	0.0	0.31	0.04	0.08	0.41	0.26	0.7

1FV5_A	1.0	0.0	0.12	0.19	0.0	0.34	0.04	0.01	0.44	0.13	0.95

1FVS_A	0.4	0.01	0.52	1.0	0.0	0.38	0.0	0.05	0.45	0.32	0.31

1FWM_A	0.4	0.68	0.43	0.32	0.02	0.27	0.41	0.26	0.44	0.08	0.24

1FWQ_A	0.83	0.09	0.29	0.2	0.0	0.26	0.01	0.09	0.12	0.35	0.51

1FZH_C	0.39	0.57	0.36	0.3	0.34	0.32	0.48	0.34	0.53	0.34	0.35

1G25_A	1.0	0.01	0.12	0.18	0.0	0.27	0.04	0.01	0.47	0.14	0.96

1G47_A	1.0	0.0	0.03	0.09	0.0	0.33	0.01	0.0	0.47	0.05	1.0

1G8T_A	0.26	0.38	0.46	0.17	0.0	0.28	0.54	0.27	0.49	0.31	0.18

1GDC_A	1.0	0.0	0.0	0.03	0.0	0.39	0.0	0.0	0.54	0.0	1.0

1GLF_Y	0.39	0.32	0.33	0.16	0.02	0.57	0.33	0.33	0.51	0.5	0.41

1GNF_A	1.0	0.0	0.01	0.06	0.0	0.21	0.02	0.0	0.53	0.04	1.0

1GNX_A	0.38	0.21	0.35	0.35	0.44	0.33	0.58	0.31	0.55	0.37	0.3

1GNX_B	0.38	0.21	0.35	0.34	0.44	0.33	0.58	0.31	0.54	0.38	0.28

1GON_B	0.38	0.21	0.35	0.34	0.44	0.33	0.58	0.31	0.54	0.38	0.28

1GOY_A	0.41	0.72	0.33	0.19	0.06	0.14	0.35	0.06	0.4	0.01	0.12

1GPW_A	0.4	0.55	0.4	0.21	0.68	0.2	0.29	0.42	0.56	0.91	0.34

1GPW_E	0.4	0.53	0.38	0.2	0.68	0.2	0.28	0.43	0.57	0.89	0.34

1GRF_A	0.59	0.28	0.32	0.34	0.25	0.62	0.32	0.31	0.49	0.34	0.49

1GZH_D	0.45	0.18	0.39	0.22	0.05	0.24	0.08	0.26	0.17	0.39	0.45

1H1A_B	0.2	0.23	0.21	0.04	0.06	0.14	0.34	0.16	0.11	0.34	0.24

1H3I_B	0.34	0.2	0.61	0.34	0.29	0.35	0.41	0.14	0.33	0.43	0.43

1H4B_A	0.4	0.76	0.25	0.03	0.02	0.05	0.58	0.05	0.36	0.0	0.02

1H5N_C	0.4	0.58	0.35	0.35	0.62	0.39	0.51	0.52	0.63	0.72	0.37

1H7B_A	0.5	0.32	0.25	0.31	0.43	0.36	0.21	0.22	0.51	0.42	0.49

1H7U_B	0.38	0.15	0.3	0.26	0.3	0.33	0.46	0.15	0.29	0.43	0.46

1H8H_B	0.4	0.45	0.23	0.0	0.29	0.32	0.66	0.55	0.35	0.01	0.32

1HCP_A	1.0	0.01	0.03	0.1	0.0	0.32	0.02	0.0	0.47	0.06	0.99

1HFE_M	0.47	0.05	0.21	0.0	0.84	0.48	0.48	0.22	0.39	0.66	0.44

1HOV_A	1.0	1.0	1.0	0.0	0.0	0.99	0.02	0.0	0.48	0.79	1.0

1HRA_A	1.0	0.0	0.09	0.16	0.0	0.34	0.02	0.0	0.44	0.11	0.97

1HYI_A	1.0	0.0	0.02	0.08	0.0	0.36	0.0	0.0	0.47	0.04	1.0

1HZ8_A	0.4	0.95	0.26	0.27	0.21	0.0	0.07	0.0	0.4	0.0	0.51

1IBI_A	1.0	0.01	0.04	0.11	0.0	0.31	0.01	0.0	0.48	0.06	0.99

1IJT_A	0.19	0.07	0.28	0.0	0.0	0.34	0.56	0.13	0.32	0.3	0.06

1IML_A	0.95	0.0	0.01	0.13	0.0	0.08	0.06	0.0	0.45	0.09	1.0

1IQ3_A	0.4	0.66	0.42	0.28	0.39	0.25	0.36	0.29	0.43	0.18	0.28

1IT4_A	0.38	0.56	0.39	0.14	0.02	0.34	0.11	0.09	0.17	0.38	0.42

1IYM_A	1.0	0.0	0.19	0.22	0.0	0.3	0.0	0.02	0.42	0.19	0.85

1J2O_A	0.99	0.74	0.22	0.42	0.18	0.57	0.1	0.0	0.5	0.5	0.84

1J3G_A	0.84	0.28	0.3	0.32	0.18	0.35	0.34	0.15	0.46	0.34	0.59

1J5C_A	0.46	0.0	1.0	1.0	0.0	0.89	0.0	0.0	0.68	0.82	0.61

1J70_A	0.39	0.47	0.34	0.13	0.16	0.21	0.54	0.37	0.61	0.44	0.23

1JBA_A	0.4	0.91	0.14	0.11	0.01	0.02	0.03	0.0	0.4	0.0	0.01

1JC2_A	0.39	0.89	0.05	0.0	0.01	0.0	0.59	0.0	0.29	0.0	0.0

1JFK_A	0.39	0.96	0.01	0.0	0.01	0.0	0.04	0.0	0.31	0.0	0.0

1JJD_A	0.29	0.26	0.22	0.06	0.02	0.19	0.19	0.06	0.06	0.33	0.42

1JLR_C	0.25	0.43	0.41	0.15	0.43	0.37	0.32	0.26	0.37	0.43	0.24

1JM7_A	1.0	0.0	0.07	0.15	0.0	0.37	0.01	0.0	0.47	0.09	0.98

1JM7_B	1.0	0.01	0.09	0.16	0.0	0.33	0.07	0.0	0.45	0.13	0.96

1JN7_A	0.99	0.01	0.26	0.28	0.0	0.31	0.03	0.07	0.41	0.26	0.73

1JRF_A	0.42	0.83	0.33	0.11	0.0	0.18	0.02	0.05	0.41	0.08	0.07

1JS1_Z	0.22	0.49	0.47	0.17	0.0	0.31	0.39	0.22	0.28	0.37	0.17

1JSA_A	0.39	0.98	0.03	0.04	0.39	0.0	0.01	0.0	0.35	0.0	0.0

1K5W_A	0.41	0.76	0.36	0.42	0.7	0.27	0.38	0.21	0.38	0.02	0.16

1K81_A	1.0	0.01	0.22	0.25	0.0	0.32	0.03	0.04	0.43	0.22	0.82

1KBE_A	1.0	0.03	0.09	0.16	0.0	0.34	0.03	0.0	0.45	0.11	0.96

1KLR_A	1.0	0.0	0.05	0.12	0.0	0.34	0.0	0.0	0.45	0.07	0.99

1KLS_A	1.0	0.0	0.04	0.11	0.0	0.33	0.0	0.0	0.45	0.06	0.99

1KYR_A	0.38	0.56	0.31	0.44	0.0	0.31	0.52	0.24	0.57	0.46	0.29

1L3E_B	1.0	0.0	0.0	0.0	0.0	0.3	0.0	0.0	0.56	0.0	1.0

1L3N_A	1.0	0.15	0.0	1.0	0.0	1.0	0.0	0.0	0.15	0.0	1.0

1L7P_B	0.38	0.57	0.29	0.06	0.0	0.34	0.56	0.29	0.43	0.17	0.36

1L8X_A	0.55	0.29	0.55	0.38	0.53	0.52	0.26	0.44	0.33	0.39	0.45

1L9L_A	0.04	0.04	0.08	0.0	0.08	0.06	0.27	0.02	0.04	0.26	0.02

1LA0_A	0.37	1.0	0.0	0.0	0.0	0.0	0.17	0.0	0.14	0.0	0.0

1LA3_A	0.39	0.97	0.04	0.04	0.4	0.0	0.01	0.0	0.35	0.0	0.0

1LJW_B	0.4	0.0	0.96	0.0	1.0	1.0	0.0	0.0	0.0	1.0	0.01

1LMJ_A	0.4	0.92	0.35	0.15	0.04	0.03	0.05	0.01	0.4	0.01	0.17

1LO1_A	1.0	0.01	0.09	0.17	0.0	0.3	0.21	0.0	0.45	0.14	0.95

1LPV_A	1.0	0.0	0.19	0.22	0.0	0.3	0.0	0.03	0.42	0.19	0.85

1LV3_A	0.91	0.07	0.13	0.25	0.1	0.21	0.52	0.04	0.41	0.42	0.64

