pdbid,ion,lig_labs,target
1a1t_A,ZN,0,0
1a1t_A,ZN,1,0
1a1t_A,ZN,2,0
1a1t_A,ZN,3,0
1a1t_A,ZN,4,0
1a1t_A,ZN,5,0
1a1t_A,ZN,6,0
1a1t_A,ZN,7,0
1a1t_A,ZN,8,0
1a1t_A,ZN,9,1
1a34_A,SO4,0,0
1a34_A,SO4,1,0
1a34_A,SO4,2,0
1a34_A,SO4,3,0
1a34_A,SO4,4,0
1a34_A,SO4,5,0
1a34_A,SO4,6,0
1a34_A,SO4,7,0
1a34_A,SO4,8,1
1a34_A,SO4,9,0
1a6b_B,ZN,0,0
1a6b_B,ZN,1,0
1a6b_B,ZN,2,0
1a6b_B,ZN,3,0
1a6b_B,ZN,4,0
1a6b_B,ZN,5,0
1a6b_B,ZN,6,0
1a6b_B,ZN,7,0
1a6b_B,ZN,8,0
1a6b_B,ZN,9,1
1a7i_A,ZN,0,0
1a7i_A,ZN,1,0
1a7i_A,ZN,2,0
1a7i_A,ZN,3,0
1a7i_A,ZN,4,0
1a7i_A,ZN,5,0
1a7i_A,ZN,6,0
1a7i_A,ZN,7,0
1a7i_A,ZN,8,0
1a7i_A,ZN,9,1
1aa9_A,MG,0,0
1aa9_A,MG,1,0
1aa9_A,MG,2,0
1aa9_A,MG,3,0
1aa9_A,MG,4,0
1aa9_A,MG,5,1
1aa9_A,MG,6,0
1aa9_A,MG,7,0
1aa9_A,MG,8,0
1aa9_A,MG,9,0
1aaf_A,ZN,0,0
1aaf_A,ZN,1,0
1aaf_A,ZN,2,0
1aaf_A,ZN,3,0
1aaf_A,ZN,4,0
1aaf_A,ZN,5,0
1aaf_A,ZN,6,0
1aaf_A,ZN,7,0
1aaf_A,ZN,8,0
1aaf_A,ZN,9,1
1adn_A,ZN,0,0
1adn_A,ZN,1,0
1adn_A,ZN,2,0
1adn_A,ZN,3,0
1adn_A,ZN,4,0
1adn_A,ZN,5,0
1adn_A,ZN,6,0
1adn_A,ZN,7,0
1adn_A,ZN,8,0
1adn_A,ZN,9,1
1aic_A,SO4,0,0
1aic_A,SO4,1,0
1aic_A,SO4,2,0
1aic_A,SO4,3,0
1aic_A,SO4,4,0
1aic_A,SO4,5,0
1aic_A,SO4,6,0
1aic_A,SO4,7,0
1aic_A,SO4,8,1
1aic_A,SO4,9,0
1aj4_A,CA,0,1
1aj4_A,CA,1,0
1aj4_A,CA,2,0
1aj4_A,CA,3,0
1aj4_A,CA,4,0
1aj4_A,CA,5,0
1aj4_A,CA,6,0
1aj4_A,CA,7,0
1aj4_A,CA,8,0
1aj4_A,CA,9,0
1ajy_A,ZN,0,0
1ajy_A,ZN,1,0
1ajy_A,ZN,2,0
1ajy_A,ZN,3,0
1ajy_A,ZN,4,0
1ajy_A,ZN,5,0
1ajy_A,ZN,6,0
1ajy_A,ZN,7,0
1ajy_A,ZN,8,0
1ajy_A,ZN,9,1
1ajy_B,ZN,0,0
1ajy_B,ZN,1,0
1ajy_B,ZN,2,0
1ajy_B,ZN,3,0
1ajy_B,ZN,4,0
1ajy_B,ZN,5,0
1ajy_B,ZN,6,0
1ajy_B,ZN,7,0
1ajy_B,ZN,8,0
1ajy_B,ZN,9,1
1ap4_A,CA,0,1
1ap4_A,CA,1,0
1ap4_A,CA,2,0
1ap4_A,CA,3,0
1ap4_A,CA,4,0
1ap4_A,CA,5,0
1ap4_A,CA,6,0
1ap4_A,CA,7,0
1ap4_A,CA,8,0
1ap4_A,CA,9,0
1aw2_A,SO4,0,0
1aw2_A,SO4,1,0
1aw2_A,SO4,2,0
1aw2_A,SO4,3,0
1aw2_A,SO4,4,0
1aw2_A,SO4,5,0
1aw2_A,SO4,6,0
1aw2_A,SO4,7,0
1aw2_A,SO4,8,1
1aw2_A,SO4,9,0
1aw2_D,SO4,0,0
1aw2_D,SO4,1,0
1aw2_D,SO4,2,0
1aw2_D,SO4,3,0
1aw2_D,SO4,4,0
1aw2_D,SO4,5,0
1aw2_D,SO4,6,0
1aw2_D,SO4,7,0
1aw2_D,SO4,8,1
1aw2_D,SO4,9,0
1aw2_G,SO4,0,0
1aw2_G,SO4,1,0
1aw2_G,SO4,2,0
1aw2_G,SO4,3,0
1aw2_G,SO4,4,0
1aw2_G,SO4,5,0
1aw2_G,SO4,6,0
1aw2_G,SO4,7,0
1aw2_G,SO4,8,1
1aw2_G,SO4,9,0
1aw2_J,SO4,0,0
1aw2_J,SO4,1,0
1aw2_J,SO4,2,0
1aw2_J,SO4,3,0
1aw2_J,SO4,4,0
1aw2_J,SO4,5,0
1aw2_J,SO4,6,0
1aw2_J,SO4,7,0
1aw2_J,SO4,8,1
1aw2_J,SO4,9,0
1ayk_A,CA,0,1
1ayk_A,ZN,0,1
1ayk_A,CA,1,0
1ayk_A,ZN,1,0
1ayk_A,CA,2,0
1ayk_A,ZN,2,0
1ayk_A,CA,3,0
1ayk_A,ZN,3,0
1ayk_A,CA,4,0
1ayk_A,ZN,4,0
1ayk_A,CA,5,0
1ayk_A,ZN,5,0
1ayk_A,CA,6,0
1ayk_A,ZN,6,0
1ayk_A,CA,7,0
1ayk_A,ZN,7,0
1ayk_A,CA,8,0
1ayk_A,ZN,8,0
1ayk_A,CA,9,1
1ayk_A,ZN,9,1
1b17_B,SO4,0,0
1b17_B,SO4,1,0
1b17_B,SO4,2,0
1b17_B,SO4,3,0
1b17_B,SO4,4,0
1b17_B,SO4,5,0
1b17_B,SO4,6,0
1b17_B,SO4,7,0
1b17_B,SO4,8,1
1b17_B,SO4,9,0
1b18_B,SO4,0,0
1b18_B,SO4,1,0
1b18_B,SO4,2,0
1b18_B,SO4,3,0
1b18_B,SO4,4,0
1b18_B,SO4,5,0
1b18_B,SO4,6,0
1b18_B,SO4,7,0
1b18_B,SO4,8,1
1b18_B,SO4,9,0
1b19_B,SO4,0,0
1b19_B,SO4,1,0
1b19_B,SO4,2,0
1b19_B,SO4,3,0
1b19_B,SO4,4,0
1b19_B,SO4,5,0
1b19_B,SO4,6,0
1b19_B,SO4,7,0
1b19_B,SO4,8,1
1b19_B,SO4,9,0
1b1g_A,CA,0,1
1b1g_A,CA,1,0
1b1g_A,CA,2,0
1b1g_A,CA,3,0
1b1g_A,CA,4,0
1b1g_A,CA,5,0
1b1g_A,CA,6,0
1b1g_A,CA,7,0
1b1g_A,CA,8,0
1b1g_A,CA,9,0
1b2a_B,SO4,0,0
1b2a_B,SO4,1,0
1b2a_B,SO4,2,0
1b2a_B,SO4,3,0
1b2a_B,SO4,4,0
1b2a_B,SO4,5,0
1b2a_B,SO4,6,0
1b2a_B,SO4,7,0
1b2a_B,SO4,8,1
1b2a_B,SO4,9,0
1b2b_B,SO4,0,0
1b2b_B,SO4,1,0
1b2b_B,SO4,2,0
1b2b_B,SO4,3,0
1b2b_B,SO4,4,0
1b2b_B,SO4,5,0
1b2b_B,SO4,6,0
1b2b_B,SO4,7,0
1b2b_B,SO4,8,1
