pdbid,ion,lig_labs,target
6a01_A,CA,0,0
6a01_A,CO,1,0
6a01_A,CU,2,0
6a01_A,FE,3,0
6a01_A,FE2,4,0
6a01_A,MG,5,0
6a01_A,MN,6,0
6a01_A,PO4,7,0
6a01_A,SO4,8,0
6a01_A,ZN,9,0
6a09_A,CA,0,0
6a09_A,CO,1,0
6a09_A,CU,2,0
6a09_A,FE,3,0
6a09_A,FE2,4,0
6a09_A,MG,5,0
6a09_A,MN,6,0
6a09_A,PO4,7,0
6a09_A,SO4,8,0
6a09_A,ZN,9,0
6a0a_A,CA,0,0
6a0a_A,CO,1,0
6a0a_A,CU,2,0
6a0a_A,FE,3,0
6a0a_A,FE2,4,0
6a0a_A,MG,5,0
6a0a_A,MN,6,0
6a0a_A,PO4,7,0
6a0a_A,SO4,8,0
6a0a_A,ZN,9,0
6a0c_A,CA,0,0
6a0c_A,CO,1,0
6a0c_A,CU,2,0
6a0c_A,FE,3,0
6a0c_A,FE2,4,0
6a0c_A,MG,5,0
6a0c_A,MN,6,0
6a0c_A,PO4,7,0
6a0c_A,SO4,8,0
6a0c_A,ZN,9,0
6a0l_A,CA,0,0
6a0l_A,CO,1,0
6a0l_A,CU,2,0
6a0l_A,FE,3,0
6a0l_A,FE2,4,0
6a0l_A,MG,5,0
6a0l_A,MN,6,0
6a0l_A,PO4,7,0
6a0l_A,SO4,8,0
6a0l_A,ZN,9,0
6a0n_A,CA,0,0
6a0n_A,CO,1,0
6a0n_A,CU,2,0
6a0n_A,FE,3,0
6a0n_A,FE2,4,0
6a0n_A,MG,5,0
6a0n_A,MN,6,0
6a0n_A,PO4,7,0
6a0n_A,SO4,8,0
6a0n_A,ZN,9,0
6a0p_A,CA,0,0
6a0p_A,CO,1,0
6a0p_A,CU,2,0
6a0p_A,FE,3,0
6a0p_A,FE2,4,0
6a0p_A,MG,5,0
6a0p_A,MN,6,0
6a0p_A,PO4,7,0
6a0p_A,SO4,8,0
6a0p_A,ZN,9,0
6a0x_A,CA,0,0
6a0x_A,CO,1,0
6a0x_A,CU,2,0
6a0x_A,FE,3,0
6a0x_A,FE2,4,0
6a0x_A,MG,5,0
6a0x_A,MN,6,0
6a0x_A,PO4,7,0
6a0x_A,SO4,8,0
6a0x_A,ZN,9,0
6a0x_B,CA,0,0
6a0x_B,CO,1,0
6a0x_B,CU,2,0
6a0x_B,FE,3,0
6a0x_B,FE2,4,0
6a0x_B,MG,5,0
6a0x_B,MN,6,0
6a0x_B,PO4,7,0
6a0x_B,SO4,8,0
6a0x_B,ZN,9,0
6a0z_A,CA,0,0
6a0z_A,CO,1,0
6a0z_A,CU,2,0
6a0z_A,FE,3,0
6a0z_A,FE2,4,0
6a0z_A,MG,5,0
6a0z_A,MN,6,0
6a0z_A,PO4,7,0
6a0z_A,SO4,8,0
6a0z_A,ZN,9,0
6a15_A,CA,0,0
6a15_A,CO,1,0
6a15_A,CU,2,0
6a15_A,FE,3,0
6a15_A,FE2,4,0
6a15_A,MG,5,0
6a15_A,MN,6,0
6a15_A,PO4,7,0
6a15_A,SO4,8,0
6a15_A,ZN,9,0
6a16_A,CA,0,0
6a16_A,CO,1,0
6a16_A,CU,2,0
6a16_A,FE,3,0
6a16_A,FE2,4,0
6a16_A,MG,5,0
6a16_A,MN,6,0
6a16_A,PO4,7,0
6a16_A,SO4,8,0
6a16_A,ZN,9,0
6a17_A,CA,0,0
6a17_A,CO,1,0
6a17_A,CU,2,0
6a17_A,FE,3,0
6a17_A,FE2,4,0
6a17_A,MG,5,0
6a17_A,MN,6,0
6a17_A,PO4,7,0
6a17_A,SO4,8,0
6a17_A,ZN,9,0
6a1g_A,CA,0,0
6a1g_A,CO,1,0
6a1g_A,CU,2,0
6a1g_A,FE,3,0
6a1g_A,FE2,4,0
6a1g_A,MG,5,0
6a1g_A,MN,6,0
6a1g_A,PO4,7,0
6a1g_A,SO4,8,0
6a1g_A,ZN,9,0
6a1s_A,CA,0,0
6a1s_A,CO,1,0
6a1s_A,CU,2,0
6a1s_A,FE,3,0
6a1s_A,FE2,4,0
6a1s_A,MG,5,0
6a1s_A,MN,6,0
6a1s_A,PO4,7,0
6a1s_A,SO4,8,0
6a1s_A,ZN,9,0
6a1u_A,CA,0,0
6a1u_A,CO,1,0
6a1u_A,CU,2,0
6a1u_A,FE,3,0
6a1u_A,FE2,4,0
6a1u_A,MG,5,0
6a1u_A,MN,6,0
6a1u_A,PO4,7,0
6a1u_A,SO4,8,0
6a1u_A,ZN,9,0
6a1v_A,CA,0,0
6a1v_A,CO,1,0
6a1v_A,CU,2,0
6a1v_A,FE,3,0
6a1v_A,FE2,4,0
6a1v_A,MG,5,0
6a1v_A,MN,6,0
6a1v_A,PO4,7,0
6a1v_A,SO4,8,0
6a1v_A,ZN,9,0
6a1x_A,CA,0,0
6a1x_A,CO,1,0
6a1x_A,CU,2,0
6a1x_A,FE,3,0
6a1x_A,FE2,4,0
6a1x_A,MG,5,0
6a1x_A,MN,6,0
6a1x_A,PO4,7,0
6a1x_A,SO4,8,0
6a1x_A,ZN,9,0
6a1y_A,CA,0,0
6a1y_A,CO,1,0
6a1y_A,CU,2,0
6a1y_A,FE,3,0
6a1y_A,FE2,4,0
6a1y_A,MG,5,0
6a1y_A,MN,6,0
6a1y_A,PO4,7,0
6a1y_A,SO4,8,0
6a1y_A,ZN,9,0
6a22_A,CA,0,0
6a22_A,CO,1,0
6a22_A,CU,2,0
6a22_A,FE,3,0
6a22_A,FE2,4,0
6a22_A,MG,5,0
6a22_A,MN,6,0
6a22_A,PO4,7,0
6a22_A,SO4,8,0
6a22_A,ZN,9,0
6a22_B,CA,0,0
6a22_B,CO,1,0
6a22_B,CU,2,0
6a22_B,FE,3,0
6a22_B,FE2,4,0
6a22_B,MG,5,0
6a22_B,MN,6,0
6a22_B,PO4,7,0
6a22_B,SO4,8,0
6a22_B,ZN,9,0
6a24_A,CA,0,0
6a24_A,CO,1,0
6a24_A,CU,2,0
6a24_A,FE,3,0
6a24_A,FE2,4,0
6a24_A,MG,5,0
6a24_A,MN,6,0
6a24_A,PO4,7,0
6a24_A,SO4,8,0
6a24_A,ZN,9,0
6a29_A,CA,0,0
6a29_A,CO,1,0
6a29_A,CU,2,0
6a29_A,FE,3,0
6a29_A,FE2,4,0
6a29_A,MG,5,0
6a29_A,MN,6,0
6a29_A,PO4,7,0
6a29_A,SO4,8,0
6a29_A,ZN,9,0
6a2a_A,CA,0,0
6a2a_A,CO,1,0
6a2a_A,CU,2,0
6a2a_A,FE,3,0
6a2a_A,FE2,4,0
6a2a_A,MG,5,0
6a2a_A,MN,6,0
6a2a_A,PO4,7,0
6a2a_A,SO4,8,0
6a2a_A,ZN,9,0
