pdbid,ion,lig_labs,target
1ad5_A,CA,0,1
1ad5_A,CA,1,0
1ad5_A,CA,2,0
1ad5_A,CA,3,0
1ad5_A,CA,4,0
1ad5_A,CA,5,0
1ad5_A,CA,6,0
1ad5_A,CA,7,0
1ad5_A,CA,8,0
1ad5_A,CA,9,0
1amy_A,CA,0,1
1amy_A,CA,1,0
1amy_A,CA,2,0
1amy_A,CA,3,0
1amy_A,CA,4,0
1amy_A,CA,5,0
1amy_A,CA,6,0
1amy_A,CA,7,0
1amy_A,CA,8,0
1amy_A,CA,9,0
1aqh_A,CA,0,1
1aqh_A,CA,1,0
1aqh_A,CA,2,0
1aqh_A,CA,3,0
1aqh_A,CA,4,0
1aqh_A,CA,5,0
1aqh_A,CA,6,0
1aqh_A,CA,7,0
1aqh_A,CA,8,0
1aqh_A,CA,9,0
1atn_D,CA,0,1
1atn_D,CA,1,0
1atn_D,CA,2,0
1atn_D,CA,3,0
1atn_D,CA,4,0
1atn_D,CA,5,0
1atn_D,CA,6,0
1atn_D,CA,7,0
1atn_D,CA,8,0
1atn_D,CA,9,0
1b0i_A,CA,0,1
1b0i_A,CA,1,0
1b0i_A,CA,2,0
1b0i_A,CA,3,0
1b0i_A,CA,4,0
1b0i_A,CA,5,0
1b0i_A,CA,6,0
1b0i_A,CA,7,0
1b0i_A,CA,8,0
1b0i_A,CA,9,0
1b4n_A,CA,0,1
1b4n_A,CA,1,0
1b4n_A,CA,2,0
1b4n_A,CA,3,0
1b4n_A,CA,4,0
1b4n_A,CA,5,0
1b4n_A,CA,6,0
1b4n_A,CA,7,0
1b4n_A,CA,8,0
1b4n_A,CA,9,0
1bag_A,CA,0,1
1bag_A,CA,1,0
1bag_A,CA,2,0
1bag_A,CA,3,0
1bag_A,CA,4,0
1bag_A,CA,5,0
1bag_A,CA,6,0
1bag_A,CA,7,0
1bag_A,CA,8,0
1bag_A,CA,9,0
1bsi_A,CA,0,1
1bsi_A,CA,1,0
1bsi_A,CA,2,0
1bsi_A,CA,3,0
1bsi_A,CA,4,0
1bsi_A,CA,5,0
1bsi_A,CA,6,0
1bsi_A,CA,7,0
1bsi_A,CA,8,0
1bsi_A,CA,9,0
1bsw_A,CA,0,1
1bsw_A,CA,1,0
1bsw_A,CA,2,0
1bsw_A,CA,3,0
1bsw_A,CA,4,0
1bsw_A,CA,5,0
1bsw_A,CA,6,0
1bsw_A,CA,7,0
1bsw_A,CA,8,0
1bsw_A,CA,9,0
1bud_A,CA,0,1
1bud_A,CA,1,0
1bud_A,CA,2,0
1bud_A,CA,3,0
1bud_A,CA,4,0
1bud_A,CA,5,0
1bud_A,CA,6,0
1bud_A,CA,7,0
1bud_A,CA,8,0
1bud_A,CA,9,0
1bvn_P,CA,0,1
1bvn_P,CA,1,0
1bvn_P,CA,2,0
1bvn_P,CA,3,0
1bvn_P,CA,4,0
1bvn_P,CA,5,0
1bvn_P,CA,6,0
1bvn_P,CA,7,0
1bvn_P,CA,8,0
1bvn_P,CA,9,0
1c8q_A,CA,0,1
1c8q_A,CA,1,0
1c8q_A,CA,2,0
1c8q_A,CA,3,0
1c8q_A,CA,4,0
1c8q_A,CA,5,0
1c8q_A,CA,6,0
1c8q_A,CA,7,0
1c8q_A,CA,8,0
1c8q_A,CA,9,0
1clv_A,CA,0,1
1clv_A,CA,1,0
1clv_A,CA,2,0
1clv_A,CA,3,0
1clv_A,CA,4,0
1clv_A,CA,5,0
1clv_A,CA,6,0
1clv_A,CA,7,0
1clv_A,CA,8,0
1clv_A,CA,9,0
1cp7_A,CA,0,1
1cp7_A,CA,1,0
1cp7_A,CA,2,0
1cp7_A,CA,3,0
1cp7_A,CA,4,0
1cp7_A,CA,5,0
1cp7_A,CA,6,0
1cp7_A,CA,7,0
1cp7_A,CA,8,0
1cp7_A,CA,9,0
1ddr_B,CA,0,1
1ddr_B,CA,1,0
1ddr_B,CA,2,0
1ddr_B,CA,3,0
1ddr_B,CA,4,0
1ddr_B,CA,5,0
1ddr_B,CA,6,0
1ddr_B,CA,7,0
1ddr_B,CA,8,0
1ddr_B,CA,9,0
1dfx_A,CA,0,1
1dfx_A,CA,1,0
1dfx_A,CA,2,0
1dfx_A,CA,3,0
1dfx_A,CA,4,0
1dfx_A,CA,5,0
1dfx_A,CA,6,0
1dfx_A,CA,7,0
1dfx_A,CA,8,0
1dfx_A,CA,9,0
1dhk_A,CA,0,1
1dhk_A,CA,1,0
1dhk_A,CA,2,0
1dhk_A,CA,3,0
1dhk_A,CA,4,0
1dhk_A,CA,5,0
1dhk_A,CA,6,0
1dhk_A,CA,7,0
1dhk_A,CA,8,0
1dhk_A,CA,9,0
1dr2_A,CA,0,1
1dr2_A,CA,1,0
1dr2_A,CA,2,0
1dr2_A,CA,3,0
1dr2_A,CA,4,0
1dr2_A,CA,5,0
1dr2_A,CA,6,0
1dr2_A,CA,7,0
1dr2_A,CA,8,0
1dr2_A,CA,9,0
1dth_A,CA,0,1
1dth_A,CA,1,0
1dth_A,CA,2,0
1dth_A,CA,3,0
1dth_A,CA,4,0
1dth_A,CA,5,0
1dth_A,CA,6,0
1dth_A,CA,7,0
1dth_A,CA,8,0
1dth_A,CA,9,0
1dyi_B,CA,0,1
1dyi_B,CA,1,0
1dyi_B,CA,2,0
1dyi_B,CA,3,0
1dyi_B,CA,4,0
1dyi_B,CA,5,0
1dyi_B,CA,6,0
1dyi_B,CA,7,0
1dyi_B,CA,8,0
1dyi_B,CA,9,0
1e5j_A,CA,0,1
1e5j_A,CA,1,0
1e5j_A,CA,2,0
1e5j_A,CA,3,0
1e5j_A,CA,4,0
1e5j_A,CA,5,0
1e5j_A,CA,6,0
1e5j_A,CA,7,0
1e5j_A,CA,8,0
1e5j_A,CA,9,0
1f2o_A,CA,0,1
1f2o_A,CA,1,0
1f2o_A,CA,2,0
1f2o_A,CA,3,0
1f2o_A,CA,4,0
1f2o_A,CA,5,0
1f2o_A,CA,6,0
1f2o_A,CA,7,0
1f2o_A,CA,8,0
1f2o_A,CA,9,0
1fmj_A,CA,0,1
1fmj_A,CA,1,0
1fmj_A,CA,2,0
1fmj_A,CA,3,0
1fmj_A,CA,4,0
1fmj_A,CA,5,0
1fmj_A,CA,6,0
1fmj_A,CA,7,0
1fmj_A,CA,8,0
1fmj_A,CA,9,0
1fml_A,CA,0,1
1fml_A,CA,1,0
1fml_A,CA,2,0
1fml_A,CA,3,0
1fml_A,CA,4,0
1fml_A,CA,5,0
1fml_A,CA,6,0
1fml_A,CA,7,0
1fml_A,CA,8,0
1fml_A,CA,9,0
