Ligand Type,ROC-AUC Score,Average Precision,F1-score,MCC,Precision,Recall,Method
CA,0.7699894034665098,0.2971146808370478,0.5377215189873418,0.5294765264101677,0.5271779597915115,0.5486954275381039,M-Ionic (ESM-2)
CO,0.6316236783905325,0.22317468778367844,0.3973509933774834,0.45551734362733515,0.8,0.2643171806167401,M-Ionic (ESM-2)
CU,0.9147014489033756,0.5948960834233389,0.7670485542825968,0.7656056163451672,0.7093844601412714,0.834916864608076,M-Ionic (ESM-2)
FE,0.9278626951166368,0.6533635989825164,0.8046676813800101,0.8018905368317342,0.7545195052331113,0.8619565217391304,M-Ionic (ESM-2)
FE2,0.8444514760544497,0.5559743852234135,0.7407407407407407,0.7391253641438165,0.7975460122699386,0.6914893617021277,M-Ionic (ESM-2)
MG,0.7140885438018555,0.21586043687324194,0.4565027131104498,0.4507716729445188,0.4815361890694239,0.43394342762063226,M-Ionic (ESM-2)
MN,0.8617162795083434,0.5708970932963389,0.752607425949103,0.7498212203037101,0.780952380952381,0.7262479871175523,M-Ionic (ESM-2)
PO4,0.6691827261125157,0.16243815829362615,0.38520130576713824,0.3771283500338296,0.43276283618581907,0.34705882352941175,M-Ionic (ESM-2)
SO4,0.6247539864729037,0.1476807141316764,0.3427109974424552,0.35799154674259603,0.5275590551181102,0.2537878787878788,M-Ionic (ESM-2)
ZN,0.9322724699592515,0.6446333661311595,0.799056158565361,0.7984436004608246,0.7393886462882097,0.8691991786447638,M-Ionic (ESM-2)
CA,0.49878934624697335,0.004819277108433735,0.0,-0.0034201078506974404,0.0,0.0,M-Ionic (ProtT5-XL)
CO,0.995774647887324,0.4,0.5714285714285715,0.6297775149287715,0.4,1.0,M-Ionic (ProtT5-XL)
CU,0.8721014492753623,0.45286532951289393,0.6666666666666665,0.6666020991651557,0.6,0.75,M-Ionic (ProtT5-XL)
FE,0.665266106442577,0.23324150596877868,0.4444444444444444,0.46549138385896505,0.6666666666666666,0.3333333333333333,M-Ionic (ProtT5-XL)
FE2,0.9934210526315789,0.8888888888888888,0.9411764705882353,0.9365858115816941,0.8888888888888888,1.0,M-Ionic (ProtT5-XL)
