Ligand Type,ROC-AUC Score,Average Precision,F1-score,MCC,Precision,Recall,Method
CA,0.8553546038192679,0.3847103520845702,0.6068582468002898,0.6048699144104542,0.5212070932282484,0.7261956364687184,M-Ionic (ESM-2)
CO,0.731581161393126,0.4320089436192764,0.6160919540229884,0.6496831153109452,0.9178082191780822,0.46366782006920415,M-Ionic (ESM-2)
CU,0.9383726119581088,0.5855699972672139,0.7561489810260015,0.7602358475196569,0.6609336609336609,0.8834154351395731,M-Ionic (ESM-2)
FE,0.7866225114926485,0.4798545754365807,0.6776586974443528,0.6855268704688288,0.8253012048192772,0.5748251748251748,M-Ionic (ESM-2)
FE2,0.9239813074995297,0.7385333505533762,0.8584758942457232,0.8571541552183866,0.8679245283018868,0.8492307692307692,M-Ionic (ESM-2)
MG,0.7403755789905188,0.1702213402031733,0.40008261902303,0.4004679132277427,0.33828152287809987,0.48951225676017185,M-Ionic (ESM-2)
MN,0.8388266051220734,0.5269316583058291,0.7220657276995305,0.7205640539917888,0.7697697697697697,0.6799292661361627,M-Ionic (ESM-2)
PO4,0.5953942599085101,0.08604943042555659,0.2564389697648376,0.2602766208869825,0.3687600644122383,0.1965665236051502,M-Ionic (ESM-2)
SO4,0.5706593936840024,0.09341933738745543,0.22516556291390727,0.262428620373441,0.5074626865671642,0.14468085106382977,M-Ionic (ESM-2)
ZN,0.954132219597257,0.7026880641952528,0.8338107692946403,0.8330000713663924,0.7659801678108314,0.9148219003370684,M-Ionic (ESM-2)
CA,0.5628698254160108,0.061677950378021824,0.1867862969004894,0.19338143637159272,0.31728437824731553,0.13235081635601792,M-Ionic (PSSM)
CO,0.5,0.012027634426502414,0.0,0.0,0.0,0.0,M-Ionic (PSSM)
CU,0.6519715783063289,0.19176073393705423,0.4043243243243244,0.4204605566127171,0.5917721518987342,0.3070607553366174,M-Ionic (PSSM)
FE,0.5877940414774299,0.14847492520840777,0.2876712328767123,0.3681807506760947,0.782608695652174,0.17622377622377622,M-Ionic (PSSM)
FE2,0.6719906537497647,0.2965712845498693,0.48908296943231444,0.5361613145722399,0.8421052631578947,0.3446153846153846,M-Ionic (PSSM)
MG,0.6418933912057391,0.0716785026228979,0.2530817061197775,0.24767739378236658,0.22264875239923224,0.2931513773060399,M-Ionic (PSSM)
MN,0.6295810776204619,0.14800505712950776,0.3513353115727003,0.36924245823830987,0.5342960288808665,0.26171529619805484,M-Ionic (PSSM)
PO4,0.5,0.01688197830702015,0.0,0.0,0.0,0.0,M-Ionic (PSSM)
SO4,0.5,0.023382153944121627,0.0,0.0,0.0,0.0,M-Ionic (PSSM)
ZN,0.9024662458741257,0.484646480219596,0.6837138508371385,0.684904697396025,0.5870744298503562,0.8184385533387993,M-Ionic (PSSM)
CA,0.8565787442185426,0.3742039071347787,0.5964808691544639,0.5959498485023741,0.5043434847728407,0.7298078312382603,M-Ionic (PSSM + ESM2)
CO,0.6881600671430993,0.3261790636351864,0.5215311004784688,0.5613747399131674,0.8449612403100775,0.3771626297577855,M-Ionic (PSSM + ESM2)
CU,0.9478864846593158,0.5830397726667959,0.7518796992481204,0.7586949947340597,0.6440281030444965,0.90311986863711,M-Ionic (PSSM + ESM2)
