pdbid,labels,mebi_pred
12ca_A,0,0.0
12ca_A,1,0.0
12ca_A,2,0.01
12ca_A,3,0.0
12ca_A,4,0.0
12ca_A,5,0.0
12ca_A,6,0.0
12ca_A,7,0.0
12ca_A,8,0.0
12ca_A,9,1.0
13pk_A,0,0.69
13pk_A,1,0.31
13pk_A,2,0.1
13pk_A,3,0.4
13pk_A,4,0.4
13pk_A,5,0.51
13pk_A,6,0.15
13pk_A,7,0.15
13pk_A,8,0.15
13pk_A,9,0.33
1a05_A,0,0.63
1a05_A,1,0.26
1a05_A,2,0.01
1a05_A,3,0.0
1a05_A,4,0.0
1a05_A,5,0.58
1a05_A,6,0.7
1a05_A,7,0.7
1a05_A,8,0.7
1a05_A,9,0.29
1a0c_A,0,0.8
1a0c_A,1,0.1
1a0c_A,2,0.53
1a0c_A,3,0.33
1a0c_A,4,0.33
1a0c_A,5,0.55
1a0c_A,6,0.88
1a0c_A,7,0.88
1a0c_A,8,0.88
1a0c_A,9,0.04
1a0d_A,0,0.6
1a0d_A,1,0.87
1a0d_A,2,0.08
1a0d_A,3,0.5
1a0d_A,4,0.5
1a0d_A,5,0.56
1a0d_A,6,0.64
1a0d_A,7,0.64
1a0d_A,8,0.64
1a0d_A,9,0.34
1a0e_A,0,0.76
1a0e_A,1,0.19
1a0e_A,2,0.48
1a0e_A,3,0.28
1a0e_A,4,0.28
1a0e_A,5,0.6
1a0e_A,6,0.88
1a0e_A,7,0.88
1a0e_A,8,0.88
1a0e_A,9,0.16
1a0j_A,0,0.63
1a0j_A,1,0.29
1a0j_A,2,0.38
1a0j_A,3,0.03
1a0j_A,4,0.03
1a0j_A,5,0.55
1a0j_A,6,0.13
1a0j_A,7,0.13
1a0j_A,8,0.13
1a0j_A,9,0.46
1a0q_H,0,0.3
1a0q_H,1,0.31
1a0q_H,2,0.22
1a0q_H,3,0.18
1a0q_H,4,0.18
1a0q_H,5,0.26
1a0q_H,6,0.17
1a0q_H,7,0.17
1a0q_H,8,0.17
1a0q_H,9,0.44
1a0q_L,0,0.09
1a0q_L,1,0.05
1a0q_L,2,0.24
1a0q_L,3,0.01
1a0q_L,4,0.01
1a0q_L,5,0.54
1a0q_L,6,0.0
1a0q_L,7,0.0
1a0q_L,8,0.0
1a0q_L,9,0.64
1a0s_P,0,0.47
1a0s_P,1,0.28
1a0s_P,2,0.14
1a0s_P,3,0.48
1a0s_P,4,0.48
1a0s_P,5,0.59
1a0s_P,6,0.56
1a0s_P,7,0.56
1a0s_P,8,0.56
1a0s_P,9,0.33
1a16_A,0,0.55
1a16_A,1,0.15
1a16_A,2,0.0
1a16_A,3,0.01
1a16_A,4,0.01
1a16_A,5,0.59
1a16_A,6,0.93
1a16_A,7,0.93
1a16_A,8,0.93
1a16_A,9,0.46
1a1f_A,0,0.0
1a1f_A,1,0.01
1a1f_A,2,0.03
1a1f_A,3,0.0
1a1f_A,4,0.0
1a1f_A,5,0.01
1a1f_A,6,0.0
1a1f_A,7,0.0
1a1f_A,8,0.0
1a1f_A,9,1.0
1a1h_A,0,0.0
1a1h_A,1,0.01
1a1h_A,2,0.03
1a1h_A,3,0.0
1a1h_A,4,0.0
1a1h_A,5,0.0
1a1h_A,6,0.0
1a1h_A,7,0.0
1a1h_A,8,0.0
1a1h_A,9,1.0
1a1i_A,0,0.0
1a1i_A,1,0.01
1a1i_A,2,0.03
1a1i_A,3,0.0
1a1i_A,4,0.0
1a1i_A,5,0.0
1a1i_A,6,0.0
1a1i_A,7,0.0
1a1i_A,8,0.0
1a1i_A,9,1.0
1a1r_B,0,0.02
1a1r_B,1,0.01
1a1r_B,2,0.06
1a1r_B,3,0.01
1a1r_B,4,0.01
1a1r_B,5,0.63
1a1r_B,6,0.0
1a1r_B,7,0.0
1a1r_B,8,0.0
1a1r_B,9,0.97
1a25_A,0,0.74
1a25_A,1,0.38
1a25_A,2,0.2
1a25_A,3,0.01
1a25_A,4,0.01
1a25_A,5,0.1
1a25_A,6,0.06
1a25_A,7,0.06
1a25_A,8,0.06
1a25_A,9,0.12
1a2p_C,0,0.78
1a2p_C,1,0.42
1a2p_C,2,0.35
1a2p_C,3,0.08
1a2p_C,4,0.08
1a2p_C,5,0.23
1a2p_C,6,0.12
1a2p_C,7,0.12
1a2p_C,8,0.12
1a2p_C,9,0.48
1a2q_A,0,0.81
1a2q_A,1,0.21
1a2q_A,2,0.93
1a2q_A,3,0.0
1a2q_A,4,0.0
1a2q_A,5,0.26
1a2q_A,6,0.1
1a2q_A,7,0.1
1a2q_A,8,0.1
1a2q_A,9,0.19
1a2t_A,0,0.84
1a2t_A,1,0.32
1a2t_A,2,0.22
1a2t_A,3,0.02
1a2t_A,4,0.02
1a2t_A,5,0.04
1a2t_A,6,0.02
1a2t_A,7,0.02
1a2t_A,8,0.02
1a2t_A,9,0.07
1a2x_A,0,1.0
1a2x_A,1,0.0
1a2x_A,2,0.0
1a2x_A,3,0.0
1a2x_A,4,0.0
1a2x_A,5,0.01
1a2x_A,6,0.0
1a2x_A,7,0.0
1a2x_A,8,0.0
1a2x_A,9,0.0
1a3w_A,0,0.0
1a3w_A,1,0.0
1a3w_A,2,0.0
1a3w_A,3,0.0
1a3w_A,4,0.0
1a3w_A,5,0.73
1a3w_A,6,1.0
1a3w_A,7,1.0
1a3w_A,8,1.0
1a3w_A,9,0.01
1a3w_B,0,0.0
1a3w_B,1,0.0
1a3w_B,2,0.0
1a3w_B,3,0.0
1a3w_B,4,0.0
1a3w_B,5,0.73
1a3w_B,6,1.0
1a3w_B,7,1.0
1a3w_B,8,1.0
1a3w_B,9,0.01
1a3x_A,0,0.0
1a3x_A,1,0.0
1a3x_A,2,0.0
1a3x_A,3,0.0
1a3x_A,4,0.0
1a3x_A,5,0.73
1a3x_A,6,1.0
1a3x_A,7,1.0
1a3x_A,8,1.0
1a3x_A,9,0.01
1a40_A,0,0.62
1a40_A,1,0.11
1a40_A,2,0.0
1a40_A,3,0.0
1a40_A,4,0.0
1a40_A,5,0.66
1a40_A,6,0.26
1a40_A,7,0.26
1a40_A,8,0.26
1a40_A,9,0.33
1a47_A,0,0.74
1a47_A,1,0.43
1a47_A,2,0.73
1a47_A,3,0.0
1a47_A,4,0.0
1a47_A,5,0.44
1a47_A,6,0.37
1a47_A,7,0.37
1a47_A,8,0.37
1a47_A,9,0.16
1a48_A,0,0.3
1a48_A,1,0.3
1a48_A,2,0.12
1a48_A,3,0.0
1a48_A,4,0.0
1a48_A,5,0.45
1a48_A,6,0.12
1a48_A,7,0.12
1a48_A,8,0.12
1a48_A,9,0.22
1a49_A,0,0.0
1a49_A,1,0.0
1a49_A,2,0.0
1a49_A,3,0.0
1a49_A,4,0.0
1a49_A,5,0.81
1a49_A,6,1.0
1a49_A,7,1.0
1a49_A,8,1.0
1a49_A,9,0.01
1a4a_A,0,0.06
1a4a_A,1,0.97
1a4a_A,2,1.0
1a4a_A,3,0.0
1a4a_A,4,0.0
1a4a_A,5,0.0
1a4a_A,6,0.0
1a4a_A,7,0.0
1a4a_A,8,0.0
1a4a_A,9,0.57
1a4g_A,0,0.78
1a4g_A,1,0.35
1a4g_A,2,0.35
1a4g_A,3,0.35
1a4g_A,4,0.35
1a4g_A,5,0.2
1a4g_A,6,0.09
1a4g_A,7,0.09
1a4g_A,8,0.09
1a4g_A,9,0.31
1a4l_A,0,0.53
1a4l_A,1,0.24
1a4l_A,2,0.26
1a4l_A,3,0.1
1a4l_A,4,0.1
1a4l_A,5,0.35
1a4l_A,6,0.02
1a4l_A,7,0.02
1a4l_A,8,0.02
1a4l_A,9,0.6
1a4r_A,0,0.0
1a4r_A,1,0.0
1a4r_A,2,0.0
1a4r_A,3,0.0
1a4r_A,4,0.0
1a4r_A,5,0.82
1a4r_A,6,0.0
1a4r_A,7,0.0
1a4r_A,8,0.0
1a4r_A,9,0.04
1a4v_A,0,0.68
1a4v_A,1,0.51
1a4v_A,2,0.39
1a4v_A,3,0.64
1a4v_A,4,0.64
1a4v_A,5,0.19
1a4v_A,6,0.23
1a4v_A,7,0.23
1a4v_A,8,0.23
1a4v_A,9,0.35
1a5t_A,0,0.24
1a5t_A,1,0.23
1a5t_A,2,0.27
1a5t_A,3,0.41
1a5t_A,4,0.41
1a5t_A,5,0.54
1a5t_A,6,0.06
1a5t_A,7,0.06
1a5t_A,8,0.06
1a5t_A,9,0.51
1a5v_A,0,0.19
1a5v_A,1,0.39
1a5v_A,2,0.25
1a5v_A,3,0.07
1a5v_A,4,0.07
1a5v_A,5,0.29
1a5v_A,6,0.3
1a5v_A,7,0.3
1a5v_A,8,0.3
1a5v_A,9,0.43
1a65_A,0,0.29
1a65_A,1,0.98
1a65_A,2,1.0
1a65_A,3,0.0
1a65_A,4,0.0
1a65_A,5,0.59
1a65_A,6,0.0
1a65_A,7,0.0
1a65_A,8,0.0
1a65_A,9,0.76
1a69_A,0,0.1
1a69_A,1,0.34
1a69_A,2,0.2
1a69_A,3,0.09
1a69_A,4,0.09
1a69_A,5,0.45
1a69_A,6,0.31
1a69_A,7,0.31
1a69_A,8,0.31
1a69_A,9,0.4
1a69_C,0,0.1
1a69_C,1,0.35
1a69_C,2,0.19
1a69_C,3,0.08
1a69_C,4,0.08
1a69_C,5,0.46
1a69_C,6,0.33
1a69_C,7,0.33
1a69_C,8,0.33
1a69_C,9,0.38
1a6f_A,0,0.37
1a6f_A,1,0.21
1a6f_A,2,0.07
1a6f_A,3,0.01
1a6f_A,4,0.01
1a6f_A,5,0.23
1a6f_A,6,0.02
1a6f_A,7,0.02
1a6f_A,8,0.02
1a6f_A,9,0.29
1a6q_A,0,0.41
1a6q_A,1,0.26
1a6q_A,2,0.08
1a6q_A,3,0.03
1a6q_A,4,0.03
1a6q_A,5,0.57
1a6q_A,6,0.8
1a6q_A,7,0.8
1a6q_A,8,0.8
1a6q_A,9,0.46
1a6y_B,0,0.39
