1	transporter activity (GO:0005215)	162	2.6%	2.1%
2	No PANTHER category is assigned (UNCLASSIFIED)	2629	42.7%	34.4%
3	translation regulator activity (GO:0045182)	15	0.2%	0.2%
4	transcription regulator activity (GO:0140110)	166	2.7%	2.2%
5	catalytic activity (GO:0003824)	2320	37.7%	30.3%
6	cytoskeletal motor activity (GO:0003774)	22	0.4%	0.3%
7	molecular function regulator (GO:0098772)	165	2.7%	2.2%
8	ATP-dependent activity (GO:0140657)	123	2.0%	1.6%
9	molecular transducer activity (GO:0060089)	158	2.6%	2.1%
10	molecular adaptor activity (GO:0060090)	34	0.6%	0.4%
11	structural molecule activity (GO:0005198)	170	2.8%	2.2%
12	binding (GO:0005488)	1683	27.3%	22.0%
